,State,City,Location,Address,Instructions,Accepting,Open packages?
0,AK,anchorage,Municipality of Anchorage,"9191 Old Seward Highway
Anchorage, AK 99515","Anchorage is currently facing a shortage of Personal Protective equipment. Due to global demand, there is no definitive shipping date for more PPE. Given the national demand for PPE and Alaska’s distance from suppliers, avoiding PPE shortages in Anchorage will require stretching existing supplies as long as possible.

The following PPE is needed immediately: Please do not give expired goods

Nitrile exam gloves (NO LATEX GLOVES)
N95 masks
Surgical masks
Medical Gowns
Face Shields which protect eyes

Please take Personal Protective Equipment to:
CrossFit Alaska
9191 Old Seward Highway
Entrance faces Scooter Ave
 
Hours of donation: 9:00 AM- 5:00 PM 7 days a week.
For questions, please email 
covid-19@anchorageak.gov
 or call 907-343-4019","N95s, Surgical masks, Face shields, Gloves, Gowns",Yes
1,AL,birmingham,St. Vincent’s Hospital ,"810 St Vincents Dr
Birmingham, AL 35205","QUARANTINE ICU, 3rd floor, main hospital","N95s, Surgical masks, Face shields, Safety goggles, Gowns, Thermometers",Yes
2,AL,birmingham,University of Alabama at Birmingham (UAB),"801 5th Ave S
Birmingham, AL 35233","Donations of approved items can be made on the UAB campus Monday-Friday from 9 am to 4 pm at the address above. **Note: the previous entry for this hospital was someone's personal address - this info reflects the official dropoff location.**

Donations can also be made to the Jefferson County Department of Health though the JCDH Coordination Center (Monday-Friday from 10 am to 2 pm, phone number 205.254.2550).","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",unknown
3,AL,birmingham,Urgent Care for Children,"500 Cahaba Park Circle Suite 100
Birmingham, AL 35242","Mail to: 500 Cahaba Park Circle, Birmingham, AL 35242","Surgical masks, Face shields, Safety goggles, Gowns",Unsure
4,AL,daphne,Eastern Shore Urgent Care,"29710 Urgent Care Dr
Daphne, AL 36526","Drop off, mail, UPS, etc","N95s, Surgical masks, Gloves",Unsure
5,AL,daphne,Urgent Care by the Bay,"1208 US-98
Daphne, AL 36526","any, will pay postage (details missing)","N95s, Gowns",Unsure
6,AL,dothan,Flowers Hospital,"4370 W Main St
Dothan, AL 36305",Drop off or mail,Hand sanitizer,Unsure
7,AL,helena,It's About Time Urgent Care,"225 Helena Market Place
Helena, AL 35080",Unknown,"N95s, Face shields, Gowns",Unsure
8,AL,huntsville,Huntsville Hospital,"101 Sivley Rd SW
Huntsville, AL 35801",TBD,N95s,Unsure
9,AL,phenix city,Preferred Medical Group,"3700 S Railroad St Suite A
Phenix City, AL 36867",In person or by mail,"N95s, Surgical masks, Safety goggles, Gowns",Unsure
10,AR,clinton,Boston Mountain Rural Health Center Inc.,"465 Medical Center Pkwy
Clinton, AR 72031",Attention Kim Bramlett,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
11,AR,clinton,Hope Medical Clinic,"145 Shake Rag Rd
Clinton, AR 72031",Mail,N95s,unsure
12,AR,corning,1st choice healthcare,"1001 N Missouri Ave
Corning, AR 72422",1001 N Missouri Ave,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
13,AR,green forest,Boston Mountain Rural Health Center Inc.,"1103 W Main St
Green Forest, AR 72638",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
14,AR,harrison,Boston Mountain Rural Health Center Inc.,"1002 N Spring St
Harrison, AR 72601",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
15,AR,huntsville,Boston Mountain Rural Health Center Inc.,"934 N Gaskill St
Huntsville, AR 72740",Attention Cassandra,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
16,AR,jasper,Boston Mountain Rural Health Center Inc.,"609 Clark St
Jasper, AR 72641",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
17,AR,little rock,Urgent Care 360,"300 S Shackleford Rd
Little Rock, AR 72211",Mail or Drop off,"N95s, Face shields, Disposable booties, Safety goggles, Gowns, shoe covers (need sizes medium-large), head covers",Unsure
18,AR,marshall,"Boston Mountain Rural Health Center, Inc.","2263 Hwy 65 S
Clinton, AR 72031","305 South Glade St
W Main St","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
19,AR,mt view,Boston Mountain Rural Health Center Inc.,"322 Dogwood Hollow Rd
Mountain View, AR 72560",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
20,AR,springdale,Community Clinic,"614 E Emma Ave #300
Springdale, AR 72764","ATTN: Ashley Hardin, COVID-19","N95s, Gowns",Yes
21,AR,yellville,Boston Mountain Rural Health Center Inc.,"Yellville
AR 72687",Attemtion Andrea,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
22,AZ,benson,Benson Hospital,"450 S Ocotillo Ave
Benson, AZ 85602",Drop off on south side of building.,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
23,AZ,bisbee,Copper Queen Community Hospital,"101 Cole Ave
Bisbee, AZ 85603",101 Cole Ave,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
24,AZ,chandler,Aspen Infusion,"2227 West Pecos Road Suite # 12
Chandler, AZ 85224",,"N95s, Surgical masks, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Thermometers",Yes
25,AZ,chandler,Chandler Regional ,"1308 W Lark Dr
Chandler, AZ 85286",Residence. Outside front door,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns",Yes
26,AZ,chandler,Emblem Healthcare,"3205 W Ray Rd #2
Chandler, AZ 85226",drop off or mail is fine,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
27,AZ,flagstaff,"Arizona Behavioral Health Associates, P.C","710 N Beaver St bldg 4
Flagstaff, AZ 86001","Mail slot, or door when open 9-5","N95s, Surgical masks, Disposable booties, Gloves, Disinfecting wipes, Thermometers",Yes
28,AZ,flagstaff,Sacred Peaks Health Center,"6300 N, US-89
Flagstaff, AZ 86004",Drop off with triage desk for Dr. Anne,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer",Yes but must be unused
29,AZ,flagstaff,The Peaks,"3150 N Winding Brook Rd
Flagstaff, AZ 86001",lease at front door,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
30,AZ,gilbert,Mercy Gilbert,"1018 Osprey Ct
Gilbert, AZ 85234",Anywhere and I'll get them to where they are needed,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
31,AZ,gilbert,Mercy Gilbert Medical Center,"3451 E Tyson St
Gilbert, AZ 85295",3451 E TYSON ST,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",No
32,AZ,gilbert,One Medical,"2196 E Williams Field Rd #116
Gilbert, AZ 85296",ATTN: Troy Birmingham,"Surgical masks, Face shields, Disposable booties, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
33,AZ,glendale,Pulmonary Associates PA,"5750 W Thunderbird Rd Bldg E Ste 500
Glendale, AZ 85306",None,"N95s, Face shields",Yes
34,AZ,green valley,"Arizona Medicos, Inc","120 W Calle de Las Tiendas 
Green Valley AZ, 85614",,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Hand sanitizer, Disinfecting wipes",Yes
35,AZ,lake havasu city,Havasu Regional Medical Center,"101 Civic Center Ln
Lake Havasu City, AZ 86403","101 Civic Center Lane
Havasu Regional Medical Center
Attn: Dr. Scott or Dr. Preston","N95s, Surgical masks, Face shields, Gloves, Gowns, Hand sanitizer",
36,AZ,mesa,Pacific Coast Hospice,"2919 S Ellsworth Rd Ste 129
Mesa, AZ 85212",Please leave with Front Desk,"N95s, Surgical masks, Face shields, Gowns, Hand sanitizer",Yes
37,AZ,mesa,The Citadel Assisted Living,"520 S Higley Rd
Mesa, AZ 85206",Attn: David LaForest,"N95s, Gowns, Hand sanitizer, Disinfecting wipes",Yes
38,AZ,peoria,Banner physical therapy,"9401 W Thunderbird Rd #190
Peoria, AZ 85381",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
